manufacturer_name,model_name,transmission,color,engine_has_gas,body_type,has_warranty
Subaru,Outback,automatic,silver,FALSE,universal,FALSE
Subaru,Outback,automatic,blue,FALSE,universal,FALSE
Subaru,Forester,automatic,red,FALSE,suv,FALSE
Subaru,Impreza,mechanical,blue,FALSE,sedan,FALSE
Subaru,Legacy,automatic,black,FALSE,universal,FALSE
Subaru,Outback,automatic,silver,FALSE,universal,FALSE
Subaru,Forester,automatic,black,FALSE,universal,FALSE
Subaru,Legacy,automatic,silver,FALSE,sedan,FALSE
Subaru,Outback,automatic,grey,FALSE,universal,FALSE
Subaru,Forester,automatic,silver,FALSE,universal,FALSE
Subaru,Forester,mechanical,other,FALSE,suv,FALSE
Subaru,Tribeca,automatic,grey,FALSE,suv,FALSE
Subaru,Forester,mechanical,other,FALSE,suv,FALSE
Subaru,Justy,mechanical,red,FALSE,hatchback,FALSE
Subaru,Outback,automatic,brown,FALSE,universal,FALSE
Subaru,Outback,automatic,black,FALSE,universal,FALSE
Subaru,Outback,automatic,other,FALSE,universal,FALSE
Subaru,Impreza,mechanical,blue,FALSE,sedan,FALSE
Subaru,Forester,automatic,silver,FALSE,suv,FALSE
Subaru,Forester,automatic,black,FALSE,suv,FALSE
Subaru,Outback,automatic,white,FALSE,universal,FALSE
Subaru,Tribeca,automatic,silver,FALSE,suv,FALSE
Subaru,Tribeca,automatic,black,FALSE,suv,FALSE
Subaru,Forester,automatic,blue,FALSE,universal,FALSE
Subaru,Legacy,automatic,green,FALSE,universal,FALSE
Subaru,Tribeca,automatic,other,FALSE,suv,FALSE
Subaru,Outback,automatic,green,FALSE,universal,FALSE
Subaru,Outback,automatic,violet,FALSE,universal,FALSE
Subaru,Impreza,mechanical,black,FALSE,universal,FALSE
Subaru,Legacy,mechanical,black,FALSE,sedan,FALSE
Subaru,Forester,mechanical,green,FALSE,universal,FALSE
Subaru,Legacy,automatic,black,TRUE,universal,FALSE
Subaru,Impreza,mechanical,violet,FALSE,universal,FALSE
Subaru,Legacy,mechanical,black,FALSE,sedan,FALSE
Subaru,Impreza,mechanical,silver,FALSE,sedan,FALSE
Subaru,Impreza,automatic,black,FALSE,hatchback,FALSE
Subaru,Outback,automatic,green,FALSE,universal,FALSE
Subaru,Legacy,mechanical,red,FALSE,sedan,FALSE
Subaru,Outback,automatic,blue,FALSE,universal,FALSE
Subaru,Forester,mechanical,silver,FALSE,suv,FALSE
Subaru,Forester,automatic,black,FALSE,universal,FALSE
Subaru,Outback,mechanical,grey,TRUE,universal,FALSE
Subaru,Tribeca,automatic,grey,TRUE,suv,FALSE
Subaru,Outback,automatic,green,FALSE,liftback,FALSE
Subaru,Forester,automatic,white,FALSE,suv,FALSE
Subaru,Forester,automatic,blue,FALSE,suv,FALSE
Subaru,Outback,mechanical,green,FALSE,universal,FALSE
Subaru,Legacy,automatic,grey,FALSE,sedan,FALSE
Subaru,Legacy,mechanical,silver,FALSE,sedan,FALSE
Subaru,Outback,automatic,black,FALSE,universal,FALSE
Subaru,Outback,automatic,other,FALSE,universal,FALSE
Subaru,Impreza,mechanical,blue,FALSE,hatchback,FALSE
Subaru,Outback,mechanical,white,FALSE,universal,FALSE
Subaru,Legacy,mechanical,green,FALSE,universal,FALSE
Subaru,Legacy,mechanical,other,FALSE,sedan,FALSE
Subaru,Forester,mechanical,black,FALSE,universal,FALSE
Subaru,Forester,mechanical,green,FALSE,suv,FALSE
Subaru,Forester,automatic,red,FALSE,universal,FALSE
Subaru,Forester,mechanical,blue,TRUE,universal,FALSE
Subaru,XV,automatic,orange,FALSE,suv,FALSE
Subaru,Legacy,automatic,red,FALSE,sedan,FALSE
Subaru,Legacy,mechanical,blue,FALSE,universal,FALSE
Subaru,Outback,automatic,brown,FALSE,universal,FALSE
Subaru,Forester,mechanical,black,FALSE,universal,FALSE
Subaru,Legacy,automatic,white,FALSE,sedan,FALSE
Subaru,Forester,automatic,black,TRUE,suv,FALSE
Subaru,Justy,mechanical,red,FALSE,hatchback,FALSE
Subaru,Legacy,automatic,green,FALSE,universal,FALSE
Subaru,Outback,automatic,black,FALSE,universal,FALSE
Subaru,Legacy,automatic,silver,FALSE,universal,FALSE
Subaru,Outback,mechanical,green,FALSE,universal,FALSE
Subaru,Impreza,mechanical,red,FALSE,universal,FALSE
Subaru,Legacy,mechanical,silver,FALSE,sedan,FALSE
Subaru,XV,automatic,grey,FALSE,suv,TRUE
Subaru,Forester,automatic,black,FALSE,suv,FALSE
Subaru,Outback,automatic,blue,FALSE,universal,FALSE
Subaru,Forester,mechanical,silver,FALSE,universal,FALSE
Subaru,Forester,mechanical,grey,FALSE,suv,FALSE
Subaru,Forester,automatic,blue,FALSE,suv,FALSE
Subaru,Forester,mechanical,green,FALSE,suv,FALSE
Subaru,Outback,automatic,other,FALSE,universal,FALSE
Subaru,Legacy,mechanical,green,FALSE,universal,FALSE
Subaru,Tribeca,automatic,blue,FALSE,suv,FALSE
Subaru,Forester,automatic,silver,FALSE,universal,FALSE
Subaru,Impreza,mechanical,blue,FALSE,hatchback,FALSE
Subaru,Forester,automatic,silver,FALSE,suv,FALSE
Subaru,Legacy,automatic,silver,FALSE,universal,FALSE
Subaru,Outback,mechanical,violet,FALSE,universal,FALSE
Subaru,Forester,mechanical,black,FALSE,universal,FALSE
Subaru,Impreza,mechanical,green,FALSE,universal,FALSE
Subaru,Impreza,mechanical,red,FALSE,universal,FALSE
Subaru,Forester,mechanical,blue,FALSE,suv,FALSE
Subaru,Tribeca,automatic,yellow,FALSE,suv,FALSE
Subaru,Impreza,automatic,silver,FALSE,sedan,FALSE
Subaru,Legacy,automatic,blue,FALSE,universal,FALSE
Subaru,Outback,automatic,blue,FALSE,universal,FALSE
Subaru,Outback,automatic,silver,FALSE,suv,FALSE
Subaru,Forester,mechanical,black,FALSE,suv,FALSE
Subaru,Forester,automatic,silver,FALSE,universal,FALSE
Subaru,Forester,mechanical,black,FALSE,suv,FALSE
Subaru,Legacy,mechanical,blue,FALSE,sedan,FALSE
Subaru,Impreza,automatic,black,FALSE,hatchback,FALSE
Subaru,Outback,automatic,blue,FALSE,universal,FALSE
Subaru,Justy,mechanical,silver,FALSE,minivan,FALSE
Subaru,Outback,automatic,other,FALSE,universal,FALSE
Subaru,Forester,automatic,black,FALSE,universal,FALSE
Subaru,Impreza,mechanical,green,FALSE,universal,FALSE
Subaru,Forester,automatic,black,FALSE,suv,FALSE
Subaru,Legacy,mechanical,silver,FALSE,universal,FALSE
Subaru,Outback,automatic,grey,FALSE,universal,FALSE
Subaru,Impreza,mechanical,green,FALSE,sedan,FALSE
Subaru,Outback,automatic,green,FALSE,universal,FALSE
Subaru,Legacy,mechanical,silver,FALSE,sedan,FALSE
Subaru,Outback,automatic,blue,FALSE,universal,FALSE
Subaru,Impreza,mechanical,other,FALSE,sedan,FALSE
Subaru,Legacy,automatic,red,FALSE,sedan,FALSE
Subaru,Impreza,mechanical,silver,FALSE,hatchback,FALSE
Subaru,Forester,mechanical,green,FALSE,universal,FALSE
Subaru,Forester,automatic,blue,TRUE,suv,FALSE
Subaru,Forester,mechanical,blue,FALSE,suv,FALSE
Subaru,Outback,automatic,red,FALSE,universal,FALSE
Subaru,Legacy,automatic,black,FALSE,sedan,FALSE
Subaru,Justy,mechanical,black,FALSE,hatchback,FALSE
Subaru,Legacy,automatic,green,FALSE,universal,FALSE
Subaru,Leone,mechanical,blue,FALSE,universal,FALSE
Subaru,Legacy,mechanical,silver,FALSE,universal,FALSE
Subaru,Justy,mechanical,silver,FALSE,hatchback,FALSE
Subaru,Legacy,automatic,grey,FALSE,universal,FALSE
Subaru,Impreza,automatic,white,FALSE,sedan,FALSE
Subaru,WRX,automatic,white,FALSE,sedan,FALSE
Subaru,Outback,automatic,white,FALSE,universal,FALSE
Subaru,Forester,automatic,silver,TRUE,universal,FALSE
Subaru,Legacy,automatic,silver,FALSE,sedan,FALSE
Subaru,Impreza,automatic,red,FALSE,sedan,FALSE
Subaru,XV,automatic,grey,FALSE,suv,FALSE
Subaru,Impreza,automatic,grey,FALSE,hatchback,FALSE
Subaru,Forester,mechanical,grey,FALSE,suv,FALSE
Subaru,Legacy,mechanical,black,FALSE,sedan,FALSE
Subaru,Outback,automatic,silver,FALSE,universal,FALSE
Subaru,Outback,automatic,black,FALSE,universal,FALSE
Subaru,Forester,automatic,white,FALSE,suv,FALSE
Subaru,Forester,automatic,white,FALSE,universal,FALSE
Subaru,Legacy,automatic,silver,FALSE,sedan,FALSE
Subaru,XV,automatic,red,FALSE,suv,FALSE
Subaru,Impreza,mechanical,white,FALSE,universal,FALSE
Subaru,Legacy,automatic,blue,FALSE,sedan,FALSE
Subaru,Outback,automatic,other,FALSE,universal,FALSE
Subaru,Forester,automatic,green,FALSE,universal,FALSE
Subaru,Tribeca,automatic,grey,FALSE,suv,FALSE
Subaru,Legacy,mechanical,other,FALSE,universal,FALSE
Subaru,Legacy,mechanical,green,FALSE,universal,FALSE
Subaru,Outback,automatic,other,FALSE,suv,FALSE
Subaru,Impreza,mechanical,silver,FALSE,sedan,FALSE
Subaru,Forester,automatic,other,FALSE,suv,FALSE
Subaru,Impreza,mechanical,black,FALSE,sedan,FALSE
Subaru,Forester,mechanical,red,FALSE,universal,FALSE
Subaru,Impreza,automatic,white,FALSE,universal,FALSE
Subaru,Tribeca,automatic,other,FALSE,suv,FALSE
Subaru,Outback,automatic,black,FALSE,universal,FALSE
Subaru,Forester,automatic,grey,TRUE,suv,FALSE
Subaru,Forester,automatic,black,FALSE,suv,FALSE
Subaru,XV,mechanical,blue,FALSE,hatchback,FALSE
Subaru,XV,mechanical,grey,FALSE,suv,FALSE
Subaru,Tribeca,automatic,blue,FALSE,suv,FALSE
